Combo_ID,LEN
583457,19.0
585987,21.0
586357,29.0
587403,100.0
587404,73.0
588414,16.0
588619,104.0
590483,30.0
591042,220.0
593469,51.0
593730,30.0
594566,30.0
595127,17.0
598675,50.0
598717,50.0
600014,20.0
600023,24.0
600030,41.0
600101,19.0
600117,75.0
600129,78.0
600131,23.0
600133,24.0
600166,25.0
600171,24.0
600199,20.0
600200,22.0
600235,23.0
600262,18.0
600284,22.0
600370,21.0
600485,21.0
600500,26.0
600511,64.0
600522,21.0
600587,23.0
600650,22.0
600880,21.0
600936,22.0
600998,22.0
601014,23.0
601016,16.0
601022,33.0
601024,24.0
601025,17.0
601103,23.0
601120,26.0
601127,24.0
601138,22.0
601140,29.0
601585,23.0
601789,22.0
601792,22.0
601921,17.0
602453,22.0
602559,64.0
602609,23.0
602673,17.0
602706,47.0
602723,19.0
602769,22.0
602811,17.0
603003,22.0
603068,25.0
603120,23.0
603145,23.0
603147,20.0
603340,18.0
603378,20.0
603383,23.0
603386,18.0
603423,17.0
603432,21.0
603434,24.0
603437,22.0
603439,66.0
603528,21.0
603529,21.0
603530,23.0
603543,24.0
603564,21.0
603665,22.0
603822,21.0
603852,23.0
603912,43.0
603914,17.0
603927,18.0
604061,22.0
604105,18.0
604120,69.0
604123,20.0
604129,22.0
604150,24.0
604184,23.0
604191,21.0
604197,16.0
604209,23.0
604213,16.0
604240,22.0
604241,21.0
604278,21.0
604323,20.0
604343,19.0
604344,21.0
604416,22.0
604441,24.0
604464,24.0
604510,21.0
604516,88.0
604518,23.0
604624,19.0
604631,21.0
604669,22.0
604682,18.0
604724,22.0
604725,75.0
604782,22.0
604786,22.0
604787,21.0
604802,23.0
604805,22.0
605030,17.0
605035,28.0
605048,28.0
605056,18.0
605111,21.0
605129,18.0
605206,122.0
605218,26.0
605286,23.0
605474,53.0
605530,39.0
605546,27.0
605576,24.0
605607,25.0
605666,26.0
605684,22.0
605731,22.0
605867,19.0
605935,23.0
605938,22.0
605948,23.0
605994,33.0
606020,22.0
606021,23.0
606022,22.0
606023,22.0
606024,23.0
606025,23.0
606035,21.0
606052,20.0
606136,22.0
606180,25.0
606181,25.0
606182,25.0
606188,23.0
606195,24.0
606201,20.0
606205,24.0
606236,23.0
606295,23.0
606296,23.0
606300,78.0
606354,21.0
606372,17.0
606421,35.0
606691,17.0
606835,45.0
606843,23.0
606865,28.0
607026,34.0
607028,32.0
607032,37.0
607039,28.0
607043,38.0
607056,23.0
607066,20.0
607126,22.0
607144,18.0
607153,23.0
607156,20.0
607158,18.0
607164,21.0
607172,22.0
607189,61.0
607190,23.0
607201,24.0
607206,23.0
607207,27.0
607248,19.0
607356,18.0
607451,23.0
607491,120.0
607540,19.0
607558,50.0
607580,20.0
607669,20.0
607670,69.0
607674,27.0
607684,21.0
607690,18.0
607699,28.0
607702,29.0
607726,25.0
607727,26.0
607737,27.0
607739,26.0
607741,28.0
607743,21.0
607752,51.0
607785,22.0
607832,22.0
607839,16.0
607856,23.0
607867,22.0
607880,17.0
607888,23.0
607979,19.0
608098,16.0
