index,CAP,GW,Mix,No_CAP,Res,SW
1970,216.0618441850942,189.29488636363635,77.82051282051282,125.52681196581196,16.8125,61.93078787878788
1971,259.4076947236181,195.02564566464238,81.14561983471074,135.88855263157896,17.12666666666667,61.60714102564102
1972,263.6507222222222,197.16780870445345,88.44233333333332,135.06259009009008,17.41090909090909,61.29771428571428
1973,260.1312252252252,206.05509433962263,79.20722222222223,118.44247916666666,17.09,77.95527777777778
1974,275.9566176184926,204.0215318869165,113.194,143.4918846153846,27.477083333333333,54.56918560606061
1975,277.40115954628254,189.1104496308017,92.50041666666667,138.90440104166666,49.36,63.90530769230768
1976,256.00543787878786,197.4222380952381,110.04888888888888,133.24838461538462,48.67,54.16431818181818
1977,287.2279520304257,190.6533007130936,77.57266666666666,124.33801282051283,48.94,50.71214285714286
1978,267.40645355530995,169.88283863670344,79.49351851851853,141.99368217054263,17.08,52.336666666666666
1979,286.2276930051786,204.14411165241583,46.517428571428574,138.20813596491226,51.37,54.49928571428571
1980,277.32662238896603,237.92934623602892,102.86114285714287,130.95987654320987,30.360000000000003,50.48857142857143
1981,249.21410853129814,176.50892007375342,72.1868253968254,148.65446186873237,45.385000000000005,51.73285714285714
1982,247.4925017076503,216.6707495812395,74.81863247863248,140.3790535113035,51.650000000000006,53.957142857142856
1983,288.74968198631916,206.7011810966811,97.16974358974359,131.22725461613217,16.9,53.449999999999996
1984,271.2665393680394,200.98652809069128,162.78328282828284,140.15611344537814,42.07,59.27916666666666
1985,267.5468261972631,219.90060091145833,127.991875,139.02398692810456,34.199999999999996,51.875
1986,264.96944216746317,200.28729328911712,168.7911111111111,143.6311858974359,37.625,44.86666666666667
1987,265.1410048569298,212.91202663934428,190.45590909090907,134.34577401129943,44.497,51.06875
1988,286.81260768721006,208.31365206552707,185.11284090909092,144.2127095516569,43.67,46.33888888888889
1989,277.3334881752551,193.93651262626264,191.90478260869568,159.46443181818182,43.72,52.028125
1990,265.0375457613768,201.09146337772398,201.47203703703704,150.23775297619048,43.91833333333333,89.31055555555557
1991,270.32398086176727,233.33526276881722,272.5601923076923,175.6609090909091,42.737500000000004,95.55462962962963
1992,275.7016331300813,206.7361807017544,220.57461538461536,142.77193396226417,47.120000000000005,79.55
1993,264.24835006065365,212.00660763478945,209.39660714285716,175.48300469483567,41.4,94.0
1994,268.2332874122096,215.21233794747405,197.60410714285715,187.00150183150183,41.480714285714285,94.48277777777778
1995,260.43578439153436,221.29073352807532,195.32431034482758,124.08643245341615,35.228095238095236,66.711875
1996,276.32864013267,230.54806787082651,213.10129629629628,123.26130952380952,40.156,87.39025000000001
1997,265.179970464135,225.56348439912912,198.8625925925926,153.50300170068027,43.885714285714286,90.26888888888888
1998,272.7842016579732,225.2195152116402,200.0434,149.466344651803,43.61666666666667,95.75277777777778
1999,261.35713671941465,223.9913358255904,209.10892857142858,166.9062048045195,42.16166666666667,66.6859375
2000,273.173391690682,230.18621695156696,196.76826923076925,168.68123976270644,43.957142857142856,100.654375
2001,253.8694917336908,230.3626152534627,222.04964285714286,177.77701320684523,42.887904761904764,59.665
2002,262.944657777359,221.26806460961473,284.36192307692306,190.4412112622827,52.17466666666667,77.34349999999999
2003,266.0645679344839,227.34757683434907,205.8137037037037,184.76176785491268,45.865833333333335,79.54039285714285
2004,260.5229584710491,224.65065305435306,170.7304,186.22316047297298,43.281904761904755,84.22146853146853
2005,264.00530721247566,226.60025466954022,206.2216,186.0732152777778,37.18416666666667,79.40259615384616
2006,267.02972671516187,231.86322005475702,246.6786206896552,197.63753076923078,54.766,79.56430021367521
2007,257.3943307220264,224.2606647780324,235.35338709677418,184.98835384265942,48.47291666666666,78.56315088757395
2008,251.37483835656212,213.4278688483762,371.60346153846154,186.35071851286855,46.387,51.97554945054945
2009,254.8551130099228,231.99094215506716,289.98999999999995,185.308824240513,34.54253968253968,79.06461054330285
2010,253.05127647714605,223.09184711259755,256.78896551724137,183.9997047519217,34.762,97.52028717948717
2011,252.34805303030305,227.89307477025898,235.19064516129032,185.35766459627328,41.77125,74.76778525641025
2012,248.54590929355282,227.4566775646372,239.74458333333334,189.2640860215054,43.006875,83.42708867521368
2013,250.58521458571974,226.8840566469938,230.86166666666668,188.92447437063996,44.62583333333333,84.00704269972452
2014,250.24409059474414,222.38901285026648,236.6538636363636,192.7748893360161,44.224375,76.38842841880343
2015,248.8930295284042,226.0962918118467,239.95129032258063,189.77385430463576,45.01428571428572,84.47828974358974
2016,245.44238620157319,225.67347841726618,214.622688172043,198.38909523809525,45.58464285714286,99.5464294871795
2017,249.96701058008725,226.94893706263866,207.66000000000003,188.59306496335907,46.06428571428571,92.74993706293706
2018,241.05498401112513,237.27659081141482,194.86940476190475,196.88057523510972,46.628571428571426,94.29999872854418
2019,241.5996462450538,230.54647330246914,227.17116666666666,185.46484325396824,46.01428571428572,91.60335505403687
2020,244.33331378888258,234.78127824286614,234.7416091954023,171.6825584795322,46.65714285714285,90.79975468975469
2021,250.54462982842463,243.26723846653672,229.879,193.43189393939394,45.66666666666667,103.27000000000001
2022,248.31528148591988,235.64180338266385,185.69379629629628,184.14846107055962,58.54,95.8775
2023,256.6828244274809,232.04247899159665,329.44166666666666,137.2216923076923,44.26666666666667,158.15
