index,CAP,GW,Mix,No_CAP,Res,SW
1972,262.5921333333333,196.7341447368421,87.95899999999999,134.67324324324323,16.03,60.94200000000001
1973,257.94918918918916,204.08704402515724,76.66555555555556,114.49525000000001,16.22,77.59
1974,274.81666666666666,202.00679487179488,112.41900000000001,143.29125,26.825,53.905
1975,276.1566120218579,188.33943037974683,91.24000000000001,138.79875,48.96,63.657999999999994
1976,254.82886666666667,196.7012972972973,109.71416666666666,131.745,48.67,53.970000000000006
1977,283.9072105263158,189.9530177514793,76.623,124.07730769230768,48.94,50.40714285714286
1978,266.47702127659574,169.10704081632656,77.82777777777778,141.93372093023254,17.08,52.213750000000005
1979,282.9311057692308,202.57224390243903,43.604285714285716,138.09447368421053,51.37,54.410000000000004
1980,275.912600896861,237.3880128205128,100.619,130.68703703703704,30.360000000000003,50.33857142857143
1981,248.62699774266363,174.90804232804234,71.8111111111111,147.41557377049182,45.385000000000005,51.54
1982,246.93622950819673,216.20542713567838,73.85111111111112,139.305,50.8,53.721428571428575
1983,287.4899115044248,205.12926406926408,96.19999999999999,130.3718367346939,16.9,52.75
1984,269.62119658119656,200.16694560669455,161.98833333333334,139.1194117647059,42.07,59.19166666666666
1985,263.51103852596316,218.60929687499998,127.785625,134.86882352941177,33.766666666666666,51.66428571428571
1986,259.926718027735,199.29443089430893,168.7911111111111,141.59173076923076,35.675,44.725
1987,260.1356868537666,211.74409836065573,190.03499999999997,131.53389830508473,43.019999999999996,50.99375
1988,280.40634194831017,206.39421245421246,184.90454545454546,141.10684210526315,43.1,46.23888888888889
1989,275.3442912621359,192.9739285714286,191.01521739130436,158.196,41.34,51.75625
1990,264.5840864440078,199.55040677966102,200.81814814814814,148.87785714285715,43.833333333333336,89.14222222222222
1991,268.64181102362204,232.24185483870966,272.2553846153846,175.64613636363637,42.575,94.55000000000001
1992,275.4634146341463,206.21381578947367,220.1053846153846,142.74528301886792,47.040000000000006,79.5
1993,262.9326136363636,210.20110192837467,207.1042857142857,174.52971830985916,41.4,93.86666666666666
1994,267.0163209076175,214.41744730679156,197.47642857142858,186.86384615384617,41.457142857142856,94.39888888888889
1995,259.63509523809523,220.08422784810128,193.96655172413796,123.24782608695651,35.222857142857144,66.5775
1996,275.7078938640133,229.97982758620688,212.91333333333333,118.20714285714287,40.156,87.32300000000001
1997,263.7727721518987,224.84949874686717,198.48666666666668,152.6,43.864285714285714,90.20777777777778
1998,269.77196721311475,224.5335,199.71439999999998,148.52830357142855,43.61666666666667,95.69999999999999
1999,260.6984839203675,223.14459349593497,208.9232142857143,166.4102797202797,42.16166666666667,66.61875
2000,272.44685878962537,228.48335897435896,196.70384615384617,167.62503703703703,43.957142857142856,100.62
2001,253.35821715817696,229.71740139211136,221.92285714285714,175.172421875,42.589999999999996,59.5475
2002,262.5876385224274,220.71615751789977,283.1369230769231,187.3084126984127,52.013999999999996,76.23100000000001
2003,265.2529746070133,226.4687201735358,204.51703703703703,181.53471337579617,45.791428571428575,79.119
2004,259.43484575835475,224.05591919191917,170.3264,183.68932432432433,43.25,83.76363636363637
2005,262.9181169590643,225.99495689655174,205.74760000000003,183.334125,36.24166666666667,78.9475
2006,266.4052118100128,231.25848049281316,245.98896551724138,195.26123076923076,53.61800000000001,79.20166666666667
2007,256.7873795534665,223.60203208556152,234.99612903225807,182.71777777777777,47.64333333333334,77.98307692307692
2008,250.57343902439024,212.5102928870293,371.59153846153845,184.16,45.6225,51.291428571428575
2009,254.13904079382579,231.19771062271062,289.9865217391304,183.5771523178808,34.378571428571426,78.39769230769231
2010,252.76103678929766,221.97873043478262,256.66137931034484,182.8047169811321,34.721428571428575,96.55699999999999
2011,251.98872727272726,226.80426315789472,235.1274193548387,183.4794409937888,41.76125,74.13
2012,247.62289094650208,226.51222018348625,239.60375,188.7694193548387,43.00625,83.09083333333334
2013,250.05414662084763,225.9199830220713,230.6875,187.00751592356687,44.59375,83.49727272727273
2014,249.43108921161826,221.61561371841157,236.56454545454545,190.26485915492958,44.20625,75.75500000000001
2015,248.45997536945814,225.2191986062718,239.8267741935484,187.60245033112582,45.01428571428572,84.10100000000001
2016,244.4312331838565,224.87672661870505,214.50806451612902,196.06814285714287,45.56714285714286,98.971
2017,248.96516759776537,226.11431899641576,207.29035714285715,187.47346405228757,46.06428571428571,92.11818181818182
2018,240.14134759358288,236.34803249097473,194.57999999999998,194.89944827586208,46.628571428571426,94.01272727272728
2019,240.49408695652173,229.46296296296296,226.61266666666668,184.52014285714284,46.01428571428572,90.03636363636363
2020,243.77505980861247,233.43722117202267,234.28758620689655,169.42736842105265,46.65714285714285,89.97272727272727
2021,249.4004238921002,242.4239961013645,229.213,191.80076923076922,45.642857142857146,102.86111111111111
2022,246.9483261802575,234.56019027484143,178.72277777777776,182.43474452554744,58.275,95.47
2023,256.2594656488549,231.9924369747899,329.44166666666666,137.2216923076923,44.26666666666667,158.15
