index,CAP,No_CAP,SW,GW,Mix
1917,164.44444444444446,17.0,21.333333333333332,83.53333333333333,88.66666666666667
1918,24.125,88.85714285714286,12.0,93.49152542372882,18.333333333333332
1919,83.41346153846153,38.416666666666664,107.5,74.93258426966293,45.583333333333336
1920,74.12280701754386,50.81481481481482,45.0,92.21367521367522,30.083333333333332
1921,81.15384615384616,101.6,,38.05,
1922,197.0909090909091,3.3333333333333335,0.0,92.6470588235294,120.0
1923,60.714285714285715,54.833333333333336,,200.26388888888889,69.33333333333333
1924,22.357142857142858,316.0,17.25,39.29642857142857,44.0
1925,45.205128205128204,27.2,40.0,87.14285714285714,42.7
1926,108.6842105263158,18.5,19.333333333333332,60.0,40.0
1927,135.33333333333334,85.4,60.0,79.64285714285714,25.4
1928,90.77272727272727,43.0,10.0,113.90714285714286,28.2
1929,96.23225806451612,75.35714285714286,174.0,77.13104166666666,37.142857142857146
1930,64.47007625272332,73.4679245283019,79.84352941176472,66.38959016393443,54.82051282051282
1931,90.34937878787879,44.54833333333333,123.74666666666667,67.206875,8.0
1932,71.16920066045066,27.03488536155203,44.08321428571429,55.492769679300295,57.92857142857143
1933,114.69822222222223,23.467916666666667,158.0775,119.76375,8.125
1934,101.51900404040403,77.22996031746032,147.70962962962963,120.95518656716419,33.857142857142854
1935,110.83273554421767,56.775625,83.20872727272727,87.13523273273272,65.25
1936,104.39271666666667,97.15062499999999,51.46555555555556,101.5855,77.0
1937,91.81619742063494,61.00546130952381,61.1225,130.32086134453783,58.76923076923077
1938,118.64519230769233,48.19928,105.28428571428572,98.68010000000002,62.27272727272727
1939,101.54947791164659,104.3542,67.76,75.99606566820275,60.325161290322576
1940,114.86947656840513,100.76677038239536,94.22397849462367,88.25753994269616,87.30876923076923
1941,107.96463685208597,70.86885456885457,67.8,87.7801783376089,80.46933333333334
1942,117.48502500735515,92.7336111111111,137.49785714285716,106.63385042735038,71.13896551724137
1943,98.59857882395383,65.15843333333333,102.0,113.84357798165139,93.87960000000001
1944,97.58777525235107,42.02513888888889,77.63000000000001,84.4304917717087,50.49214285714286
1945,115.78113251807414,127.64987421383648,79.86200000000001,112.55681415584415,73.28930272108843
1946,140.76609447245207,134.45561777777777,169.25565789473686,116.53078252412075,76.34427683013504
1947,115.39114091596235,92.8811755952381,84.39990476190478,112.23400216450214,93.62371584699454
1948,149.1702076042746,108.71323272971159,140.79414634146346,120.91350674373798,65.24476190476192
1949,137.0287751004016,102.06883333333333,121.95109375,119.97667120181403,88.49759259259257
1950,132.99907250444386,65.7595596205962,94.44559743589745,101.46910052493438,80.37353982300885
1951,144.3068597112314,143.2425434027778,99.62955000000001,143.88717291666663,89.09427083333334
1952,140.47375378503511,127.7107490636704,99.28420833333334,121.20755006625033,102.05850000000005
1953,131.38399870801038,139.60229423868319,97.82754310344828,128.3094687372768,96.60878514056223
1954,143.76293524103394,113.38554216867475,117.81519576719577,148.17485335497838,132.4584322916667
1955,142.900411669139,142.81044444444447,126.05630645161291,128.6955780344428,117.76443604651168
1956,135.38521050557162,128.82053714470283,161.1648633879782,129.14147157798064,85.97471363115694
1957,164.58085506297533,150.1833236245955,148.58510769230767,150.14513834092057,98.58724074074074
1958,166.3121633699633,148.7483733974359,151.71928571428572,140.74727795193303,135.34228395061726
1959,151.28250000000003,146.1071875,114.50566176470586,144.86296064814817,126.52547058823531
1960,153.52025108945415,123.91293191056909,126.28654761904761,130.1562172379032,93.59319727891156
1961,163.64365456012916,132.76909,131.77734848484846,132.3680272596845,142.04487804878048
1962,176.0392711406745,148.30278145695365,151.16029816513765,151.20364498677117,136.48117117117116
1963,165.2010532335741,156.97511677282372,145.53046874999998,165.83250146057387,127.33424637681159
1964,167.24431781982233,156.51411999999996,170.0018055555556,154.1740556314243,118.4997157622739
